RANK,REG,CODE,Airport,Airport location
78,NAM,DCA,"WASHINGTON DC, US (DCA)","WASHINGTON DC, US (DCA) Airport"
79,EUR,BRU,"BRUSSELS, BE (BRU)","BRUSSELS, BE (BRU) Airport"
80,EUR,DUB,"DUBLIN, IE (DUB)","DUBLIN, IE (DUB) Airport"
81,ASP,GMP,"SEOUL, KR (GMP)","SEOUL, KR (GMP) Airport"
82,MEA,DOH,"DOHA, QA (DOH)","DOHA, QA (DOH) Airport"
83,EUR,STN,"LONDON, GB (STN)","LONDON, GB (STN) Airport"
84,ASP,HGH,"HANGZHOU, CN (HGH)","HANGZHOU, CN (HGH) Airport"
85,ASP,CJU,"JEJU, KR (CJU)","JEJU, KR (CJU) Airport"
86,NAM,YVR,"VANCOUVER BC, CA (YVR)","VANCOUVER BC, CA (YVR) Airport"
87,EUR,TXL,"BERLIN, DE (TXL)","BERLIN, DE (TXL) Airport"
88,NAM,SAN,"SAN DIEGO CA, US (SAN)","SAN DIEGO CA, US (SAN) Airport"
89,NAM,TPA,"TAMPA FL, US (TPA)","TAMPA FL, US (TPA) Airport"
90,LAC,CGH,"SÃO PAULO, BR (CGH)","SÃO PAULO, BR (CGH) Airport"
91,LAC,BSB,"BRASILIA, BR (BSB)","BRASILIA, BR (BSB) Airport"
92,ASP,CTS,"SAPPORO, JP (CTS)","SAPPORO, JP (CTS) Airport"
93,ASP,XMN,"XIAMEN, CN (XMN)","XIAMEN, CN (XMN) Airport"
94,MEA,RUH,"RIYADH, SA (RUH)","RIYADH, SA (RUH) Airport"
95,ASP,FUK,"FUKUOKA, JP (FUK)","FUKUOKA, JP (FUK) Airport"
96,LAC,GIG,"RIO DE JANEIRO, BR (GIG)","RIO DE JANEIRO, BR (GIG) Airport"
97,EUR,HEL,"HELSINKI, FI (HEL)","HELSINKI, FI (HEL) Airport"
98,EUR,LIS,"LISBON, PT (LIS)","LISBON, PT (LIS) Airport"
99,EUR,ATH,"ATHENS, GR (ATH)","ATHENS, GR (ATH) Airport"
100,ASP,AKL,"AUCKLAND, NZ (AKL)","AUCKLAND, NZ (AKL) Airport"
